,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2026-01-02,AAPL,270.2743225097656,277.0857683126949,268.2697691424855,271.52092924369913,37838100.0,4.0,-0.28846251496906916,280.0744189998475,268.06456415444933,53.21681706320505,-55.79385151266634,13.731111172379364,274.76343688964846,268.6425168355306,14.510000228881836,62.060902739340186
0,2026-01-02,AMGN,321.0702819824219,322.5891899164597,318.49301311541296,322.1775984634933,1539700.0,4.0,1.225203768935046,332.90112955103467,306.86110799779345,54.350636582308,-36.799515835867325,6.464365786457557,324.2467956542969,311.5515619913737,14.510000228881836,62.060902739340186
0,2026-01-02,AMZN,226.5,235.4600067138672,224.6999969482422,231.33999633789062,51456200.0,4.0,0.08923798712561393,235.4954877479322,221.46151298448967,48.44984783592866,9.536941611471077,2.919558672016092,228.30333404541017,229.39483388264975,14.510000228881836,62.060902739340186
0,2026-01-02,AXP,370.54107666015625,370.68023870516225,365.0932481753767,367.33003458353085,2076100.0,4.0,3.322331984983691,385.6149013034393,360.41971783718566,55.84914078745318,13.403615358047842,3.9079254193676567,366.99091084798175,357.50834401448566,14.510000228881836,62.060902739340186
0,2026-01-02,BA,227.77000427246094,227.77000427246094,215.24000549316406,218.14999389648438,11261000.0,4.0,6.020081053811708,226.359036041489,194.0439668881985,62.14514359899097,133.24168611369706,28.400188712361047,202.68900095621746,204.9933344523112,14.510000228881836,62.060902739340186
0,2026-01-02,CAT,594.7753295898438,595.9680531205,571.8156594485761,574.0818402232668,2761600.0,4.0,3.6215337184268037,616.291556528856,553.9103782855972,59.09926119503085,49.6719361998034,19.656173366997137,577.8328796386719,558.3564595540364,14.510000228881836,62.060902739340186
0,2026-01-02,CRM,252.33599853515625,264.03647114821274,251.2017705962925,263.6583901080786,9680600.0,4.0,4.57883075000791,269.28806248622044,248.94139918370146,51.000998829512554,33.421157135395624,9.77547292261271,249.10570322672527,247.70209452311198,14.510000228881836,62.060902739340186
0,2026-01-02,CSCO,75.34831237792969,76.2500307433969,74.92222351776539,75.95276419258126,15749800.0,4.0,0.3462588361210237,78.83532450517939,74.88117100873663,53.34119191015249,-76.11059687581407,9.175644090647065,76.41049474080404,73.63287671407063,14.510000228881836,62.060902739340186
0,2026-01-02,CVX,151.6648406982422,151.6648406982422,147.14116775938132,148.0361734117126,6862100.0,4.0,0.4389293552106608,150.15511399687804,142.23311384736022,55.95208925977114,225.95056924456898,11.875946838032549,146.27599334716797,147.28036397298177,14.510000228881836,62.060902739340186
0,2026-01-02,DIS,110.99947357177734,112.57738689992571,110.7712267677642,112.57738689992571,8906200.0,4.0,1.634830447022864,116.19442274742893,103.75130936927029,52.22000439387465,65.36683303011793,9.90600557733941,107.55741119384766,108.54911969502767,14.510000228881836,62.060902739340186
0,2026-01-02,GS,905.5623168945312,905.6613327098464,872.2947559758666,875.5135558134159,2817600.0,4.0,20.63203092916376,916.1399480273772,839.1666376659823,63.18746488036497,75.28000560371363,29.627744235739943,849.2078145345052,809.6032501220703,14.510000228881836,62.060902739340186
0,2026-01-02,HD,340.96588134765625,343.59838686169115,336.1346665476792,338.6094143018549,3763000.0,4.0,-3.2245451490796313,355.186216431348,335.75822021415985,43.23958663156831,-47.93651155537335,9.990424654271115,343.9355926513672,357.0646428426107,14.510000228881836,62.060902739340186
0,2026-01-02,HON,202.6922607421875,203.41659870567415,200.07427402064988,202.49565429337696,3009532.0,4.0,0.653119975900097,207.95209359939594,196.46593160812358,49.93532306183415,33.40273645670953,0.18084852984113164,200.59821014404298,201.7029696146647,14.510000228881836,62.060902739340186
0,2026-01-02,IBM,285.680419921875,291.6292440773181,283.2303305571934,291.61943414919784,4662800.0,4.0,-1.077725420084164,308.8567087877758,288.62698261847424,46.911127331977724,-185.47286546224518,4.473652874972554,297.38792724609374,293.63128560384115,14.510000228881836,62.060902739340186
0,2026-01-02,JNJ,205.0741424560547,205.11369677781147,201.44441091836137,204.54996091774888,6325500.0,4.0,1.9003161177108154,211.5716886870148,197.87240463573912,60.72844914409568,-0.745784380501134,16.297597086061653,203.98636728922526,195.89755477905274,14.510000228881836,62.060902739340186
0,2026-01-02,JPM,320.92291259765625,321.1694123071354,316.2492576445291,317.9846252281575,8054000.0,4.0,4.2344012268901,327.6199457948858,300.9148839170283,57.32751733828204,90.47728762526276,6.385131872942251,309.7653442382813,305.5779703776042,14.510000228881836,62.060902739340186
0,2026-01-02,KO,68.20761108398438,68.94771100123326,68.0694597017261,68.92797078737598,12151300.0,4.0,-0.14718952739431757,70.05955650438395,68.32728736768635,47.80388468420577,-130.58589219458847,11.289751821248851,69.69265899658203,68.75211613972982,14.510000228881836,62.060902739340186
